anonymous-20110318-wrn/wav/ru_0070,электричество было потушено и бледный свет проникал сквозь стёкла глазков,I L 0 I K T R 0 I 0 C H I S T V A B Y 0 L A P A T U 0 S H Y N A I B L 0 E 0 D N Y J S V 0 E 0 T P R A N 0 I K A 0 L S K V O 0 S 0 T 0 O 0 K L A G L A S K O 0 F
anonymous-20110318-wrn/wav/ru_0071,лось чувствовал сердце бьётся чаще чаще уже не бьётся трепещет мучительно,L O 0 S 0 C H U 0 F S T V A V A L S 0 E 0 R C Y B 0 J O 0 C A C H A 0 S H 0 I C H A 0 S H 0 I U 0 Z H Y N 0 I B 0 J O 0 C A T R 0 I P 0 E 0 S H 0 I T M U C H I 0 T 0 I L 0 N A
anonymous-20110318-wrn/wav/ru_0073,в один из глазков входил прямой ослепительный луч солнца,V A D 0 I 0 N Y Z G L A S K O 0 V F H A D 0 I 0 L P R 0 I M O 0 J A S 0 L 0 I P 0 I 0 T 0 I L 0 N Y J L U 0 C H S O 0 N C A
anonymous-20110318-wrn/wav/ru_0074,лось с трудом оторвался от этого зрелища живоносного огня вселенной,L O 0 S 0 S T R U D O 0 M A T A R V A 0 L S 0 A T E 0 T A V A Z R 0 E 0 L 0 I S H 0 A Z H Y V A N O 0 S N A V A G N 0 A 0 F S 0 I L 0 E 0 N A J
anonymous-20110318-wrn/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал они тянулись через оголённую ледяную равнину,T 0 I P 0 E 0 R 0 U 0 Z H Y J A 0 S N A M O 0 Z H N A B Y 0 L A V 0 I 0 D 0 I T 0 R 0 E 0 S K 0 I J I D 0 L 0 I 0 N Y J I T 0 E 0 N 0 I A T S K A 0 L A N 0 I 0 T 0 I N U 0 L 0 I S 0 C H I R 0 I Z A G A L 0 O 0 N U J U L 0 I D 0 I N U 0 J U R A V N 0 I 0 N U
anonymous-20110422-xxh/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
anonymous-20110422-xxh/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
anonymous-20110422-xxh/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
anonymous-20110422-xxh/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
anonymous-20110422-xxh/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
anonymous-20110422-xxh/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
anonymous-20110422-xxh/wav/ru_0088,привычной хваткой расстегнул кобуру вытащил револьвер эй закричал он кто там у аппарат так вашу эдак,P R 0 I V Y 0 C H N A J H V A 0 T K A J R A S S 0 T 0 I G N U 0 L K A B U R U 0 V Y 0 T A S H 0 I L R 0 I V A L 0 V 0 E 0 R E 0 J Z A K R 0 I C H A 0 L O 0 N K T O 0 T A 0 M U A P A R A 0 T A 0 K V A 0 S H U E 0 D A K
anonymous-20110422-xxh/wav/ru_0089,от берега до ближайшей кущи деревьев лось и гусев шли по горелому бурому праху перепрыгивали через обсыпавшиеся неширокие каналы огибали высохшие прудики,A D B 0 E 0 R 0 I G A D A B L 0 I Z H A 0 J S H Y J K U 0 S H 0 I D 0 I R 0 E 0 V 0 J I V L O 0 S 0 I G U 0 S 0 I F S H L 0 I 0 P A G A R 0 E 0 L A M U B U 0 R A M U P R A 0 H U P 0 I R 0 I P R Y 0 G 0 I V A L 0 I C H I R 0 I Z A P S Y 0 P A F S H Y J I S 0 A N 0 I S H Y R O 0 K 0 I J I K A N A 0 L Y A G 0 I B A 0 L 0 I V Y 0 S A H S H Y J I P R U 0 D 0 I K 0 I
anonymous-20110422-xxh/wav/ru_0093,гусев нагнулся и пхнул ногой из-под праха покатился проломанный человеческий череп в зубах его блеснуло золото,G U 0 S 0 I V N A G N U 0 L S 0 A I P H N U 0 L N A G O 0 J I S P A T P R A 0 H A P A K A T 0 I 0 L S 0 A P R A L O 0 M A N Y J C H I L A V 0 E 0 C H I S K 0 I J C H E 0 R 0 I P V Z U B A 0 H J I G O 0 B L 0 I S N U 0 L A Z O 0 L A T A
anonymous-20110422-xxh/wav/ru_0094,сейчас же второй паук побежал из-за дома к деревьям поднимая коричневую пыльцу и ткнулся в колючую сеть стал биться в ней вытягивая ноги,S 0 I J C H A 0 Z Z H Y F T O 0 R A J P A U 0 K P A B 0 I Z H A 0 L Y Z A D O 0 M A G D 0 I R 0 E 0 V 0 J I M P A D 0 N 0 I M A 0 J A K A R 0 I 0 C H N 0 I V U J U P Y L 0 C U 0 I T K N U 0 L S 0 A F K A L 0 U 0 C H U J U S 0 E 0 T 0 S T A 0 L B 0 I 0 C A V N 0 E 0 J V Y T 0 A 0 G 0 I V A J A N O 0 G 0 I
anonymous-20110502-ftw/wav/ru_0056,ах боже мой какие могли быть дела важнее катюшиной любви,A 0 H B O 0 Z H Y M O 0 J K A K 0 I 0 J I M A G L 0 I 0 B Y 0 D D 0 I L A 0 V A Z H N 0 E 0 J I K A T 0 U 0 S H Y N A J L 0 U B 0 V 0 I 0
anonymous-20110502-ftw/wav/ru_0058,осенний ветер над катей лежащей в земле под крестом,A S 0 E 0 N 0 I J V 0 E 0 T 0 I R N A T K A 0 T 0 I J L 0 I Z H A 0 S H 0 I J V Z 0 I M L 0 E 0 P A T K R 0 I S T O 0 M
anonymous-20110502-ftw/wav/ru_0059,накинул пальто и зашагал через пустырь на большую монетную улицу к себе на квартиру где полгода тому назад умерла катя,N A K 0 I 0 N U L P A L 0 T O 0 I Z A S H A G A 0 L C H I R 0 I S P U S T Y 0 R 0 N A B O 0 L 0 S H U J U M A N 0 E 0 T N U J U U 0 L 0 I C U K S 0 I B 0 E 0 N A K V A R T 0 I 0 R U G D 0 E 0 P A L G O 0 D A T A M U 0 N A Z A 0 T U M 0 I R L A 0 K A 0 T 0 A
anonymous-20110502-ftw/wav/ru_0060,он открыл дверь в спальню где после смерти кати он никогда не ночевал,O 0 N A T K R Y 0 L D V 0 E 0 R 0 F S P A 0 L 0 N 0 U G D 0 E 0 P A S 0 L 0 E 0 S M 0 E 0 R T 0 I K A 0 T 0 I O 0 N 0 I K A G D A 0 N 0 I N A C H I V A 0 L
anonymous-20110502-ftw/wav/ru_0062,над головой летела не могла улететь весёлая женщина с весёлыми младенцами,N A D G A L A V O 0 J L 0 I T 0 E 0 L A N 0 I M A G L A 0 U L 0 I T 0 E 0 T 0 V 0 I S 0 O 0 L A J A Z H E 0 N S H 0 I N A S V 0 I S 0 O 0 L Y M 0 I M L A D 0 E 0 N C A M 0 I
anonymous-20110502-ftw/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
anonymous-20110502-ftw/wav/ru_0064,он сел к столу начал лупить варёную картошку разломил окунул в соль на завтра приготовь чистое две смены рубашки подштаники подвёртки,O 0 N 0 S 0 E 0 L K S T A L U 0 N A 0 C H I L U P 0 I 0 T 0 V A R 0 O 0 N U J U K A R T O 0 S H K U R A Z L A M 0 I 0 L A K U N U 0 L F S O 0 L 0 N A Z A 0 F T R A P R 0 I G A T O 0 F 0 C H I 0 S T A J I D V 0 E 0 S M 0 E 0 N Y R U B A 0 S H K 0 I P A T S H T A 0 N 0 I K 0 I P A D V 0 O 0 R T K 0 I
anonymous-20110502-ftw/wav/ru_0065,шли с набережной бежали из переулков бубнили сбивались в кучки лежали на чахлой траве поглядывали на низкое солнце пустившее сквозь облака широкие лучи,S H L 0 I 0 S N A 0 B 0 I R 0 I Z H N A J B 0 I Z H A 0 L 0 I S P 0 I R 0 I U 0 L K A V B U B N 0 I 0 L 0 I Z B 0 I V A 0 L 0 I S 0 F K U 0 C H K 0 I L 0 I Z H A 0 L 0 I N A C H A 0 H L A J T R A V 0 E 0 P A G L 0 A 0 D Y V A L 0 I N A N 0 I 0 S K A J I S O 0 N C Y P U S 0 T 0 I 0 F S H Y J I S K V O 0 S 0 A B L A K A 0 S H Y R O 0 K 0 I J I L U C H I 0
anonymous-20110502-ftw/wav/ru_0066,до сумерек переливался говор шли разные разговоры в толпе ожидающей необыкновенного события,D A S U 0 M 0 I R 0 I K P 0 I R 0 I L 0 I V A 0 L S 0 A G O 0 V A R S H L 0 I 0 R A 0 Z N Y J I R A Z G A V O 0 R Y F T A L P 0 E 0 A Z H Y D A 0 J U S H 0 I J N 0 I A B Y K N A V 0 E 0 N A V A S A B Y 0 T 0 I J A
anonymous-20110502-mxm/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
anonymous-20110502-mxm/wav/ru_0064,он сел к столу начал лупить варёную картошку разломил окунул в соль на завтра приготовь чистое две смены рубашки подштаники подвёртки,O 0 N 0 S 0 E 0 L K S T A L U 0 N A 0 C H I L U P 0 I 0 T 0 V A R 0 O 0 N U J U K A R T O 0 S H K U R A Z L A M 0 I 0 L A K U N U 0 L F S O 0 L 0 N A Z A 0 F T R A P R 0 I G A T O 0 F 0 C H I 0 S T A J I D V 0 E 0 S M 0 E 0 N Y R U B A 0 S H K 0 I P A T S H T A 0 N 0 I K 0 I P A D V 0 O 0 R T K 0 I
anonymous-20110502-mxm/wav/ru_0065,шли с набережной бежали из переулков бубнили сбивались в кучки лежали на чахлой траве поглядывали на низкое солнце пустившее сквозь облака широкие лучи,S H L 0 I 0 S N A 0 B 0 I R 0 I Z H N A J B 0 I Z H A 0 L 0 I S P 0 I R 0 I U 0 L K A V B U B N 0 I 0 L 0 I Z B 0 I V A 0 L 0 I S 0 F K U 0 C H K 0 I L 0 I Z H A 0 L 0 I N A C H A 0 H L A J T R A V 0 E 0 P A G L 0 A 0 D Y V A L 0 I N A N 0 I 0 S K A J I S O 0 N C Y P U S 0 T 0 I 0 F S H Y J I S K V O 0 S 0 A B L A K A 0 S H Y R O 0 K 0 I J I L U C H I 0
anonymous-20110502-mxm/wav/ru_0066,до сумерек переливался говор шли разные разговоры в толпе ожидающей необыкновенного события,D A S U 0 M 0 I R 0 I K P 0 I R 0 I L 0 I V A 0 L S 0 A G O 0 V A R S H L 0 I 0 R A 0 Z N Y J I R A Z G A V O 0 R Y F T A L P 0 E 0 A Z H Y D A 0 J U S H 0 I J N 0 I A B Y K N A V 0 E 0 N A V A S A B Y 0 T 0 I J A
anonymous-20110502-mxm/wav/ru_0067,его ярко освещённая внутренность из стёганой ромбами жёлтой кожи была видна сквозь круглое отверстие люка,J I G O 0 J A 0 R K A S V 0 I S H 0 O 0 N A J A V N U 0 T R 0 I N A S 0 T 0 I S S 0 T 0 O 0 G A N A J R O 0 M B A M 0 I Z H O 0 L T A J K O 0 Z H Y B Y L A 0 V 0 I 0 D N A S K V O 0 S 0 K R U 0 G L A J I A T V 0 E 0 R S 0 T 0 I J I L 0 U 0 K A
anonymous-20110502-mxm/wav/ru_0068,недолго ждать когда пошатнётся даже разум единственные цепи на этом чудовище,N 0 I D O 0 L G A Z H D A 0 T 0 K A G D A 0 P A S H A T 0 N 0 O 0 C A D A 0 Z H Y R A 0 Z U M J I D 0 I 0 N S T V 0 I N Y J I C E 0 P 0 I N A E 0 T A M C H U D O 0 V 0 I S H 0 I
anonymous-20110502-mxm/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные освещённые окна сарая,V M A L C H A 0 N 0 I T 0 I P 0 E 0 R 0 T Y 0 S 0 I C H I L 0 U D 0 E 0 J G L 0 I D 0 E 0 L 0 I N A K V A D R A 0 T N Y J I A S V 0 I S H 0 O 0 N Y J I O 0 K N A S A R A 0 J A
anonymous-20110502-mxm/wav/ru_0070,электричество было потушено и бледный свет проникал сквозь стёкла глазков,I L 0 I K T R 0 I 0 C H I S T V A B Y 0 L A P A T U 0 S H Y N A I B L 0 E 0 D N Y J S V 0 E 0 T P R A N 0 I K A 0 L S K V O 0 S 0 T 0 O 0 K L A G L A S K O 0 F
anonymous-20110502-mxm/wav/ru_0071,лось чувствовал сердце бьётся чаще чаще уже не бьётся трепещет мучительно,L O 0 S 0 C H U 0 F S T V A V A L S 0 E 0 R C Y B 0 J O 0 C A C H A 0 S H 0 I C H A 0 S H 0 I U 0 Z H Y N 0 I B 0 J O 0 C A T R 0 I P 0 E 0 S H 0 I T M U C H I 0 T 0 I L 0 N A
anonymous-20110502-mxm/wav/ru_0073,в один из глазков входил прямой ослепительный луч солнца,V A D 0 I 0 N Y Z G L A S K O 0 V F H A D 0 I 0 L P R 0 I M O 0 J A S 0 L 0 I P 0 I 0 T 0 I L 0 N Y J L U 0 C H S O 0 N C A
anonymous-20110502-wqi/wav/ru_0053,лось показал гусеву механизм движения и важнейшие приборы гусев оказался ловким и сметливым человеком,L O 0 S 0 P A K A Z A 0 L G U 0 S 0 I V U M 0 I H A N 0 I 0 Z M D V 0 I Z H E 0 N 0 I J A I V A Z H N 0 E 0 J S H Y J I P R 0 I B O 0 R Y G U 0 S 0 I V A K A Z A 0 L S 0 A L O 0 F K 0 I M Y S M 0 I T 0 L 0 I 0 V Y M C H I L A V 0 E 0 K A M
anonymous-20110502-wqi/wav/ru_0054,он целует её в щёки в лоб в закрытые веки,O 0 N C Y L U 0 J I T J I J O 0 F S H 0 O 0 K 0 I V L O 0 P V Z A K R Y 0 T Y J I V 0 E 0 K 0 I
anonymous-20110502-wqi/wav/ru_0055,потом взошёл на лесенку телескопа нашёл искателем марс поднявшийся уже над петербургом и долго глядел на небольшой ясный тёплый шарик,P O 0 T A M V Z A S H O 0 L N A L 0 E 0 S 0 I N K U T 0 I L 0 I S K O 0 P A N A S H O 0 L Y S K A 0 T 0 I L 0 I M A 0 R S P A D 0 N 0 A 0 F S H Y J S 0 A U 0 Z H Y N A T P 0 I T 0 I R B U 0 R G A M Y D O 0 L G A G L 0 I D 0 E 0 L N A N 0 I B A L 0 S H O 0 J A 0 S N Y J T 0 O 0 P L Y J S H A 0 R 0 I K
anonymous-20110502-wqi/wav/ru_0056,ах боже мой какие могли быть дела важнее катюшиной любви,A 0 H B O 0 Z H Y M O 0 J K A K 0 I 0 J I M A G L 0 I 0 B Y 0 D D 0 I L A 0 V A Z H N 0 E 0 J I K A T 0 U 0 S H Y N A J L 0 U B 0 V 0 I 0
anonymous-20110502-wqi/wav/ru_0058,осенний ветер над катей лежащей в земле под крестом,A S 0 E 0 N 0 I J V 0 E 0 T 0 I R N A T K A 0 T 0 I J L 0 I Z H A 0 S H 0 I J V Z 0 I M L 0 E 0 P A T K R 0 I S T O 0 M
anonymous-20110502-wqi/wav/ru_0059,накинул пальто и зашагал через пустырь на большую монетную улицу к себе на квартиру где полгода тому назад умерла катя,N A K 0 I 0 N U L P A L 0 T O 0 I Z A S H A G A 0 L C H I R 0 I S P U S T Y 0 R 0 N A B O 0 L 0 S H U J U M A N 0 E 0 T N U J U U 0 L 0 I C U K S 0 I B 0 E 0 N A K V A R T 0 I 0 R U G D 0 E 0 P A L G O 0 D A T A M U 0 N A Z A 0 T U M 0 I R L A 0 K A 0 T 0 A
anonymous-20110502-wqi/wav/ru_0060,он открыл дверь в спальню где после смерти кати он никогда не ночевал,O 0 N A T K R Y 0 L D V 0 E 0 R 0 F S P A 0 L 0 N 0 U G D 0 E 0 P A S 0 L 0 E 0 S M 0 E 0 R T 0 I K A 0 T 0 I O 0 N 0 I K A G D A 0 N 0 I N A C H I V A 0 L
anonymous-20110502-wqi/wav/ru_0062,над головой летела не могла улететь весёлая женщина с весёлыми младенцами,N A D G A L A V O 0 J L 0 I T 0 E 0 L A N 0 I M A G L A 0 U L 0 I T 0 E 0 T 0 V 0 I S 0 O 0 L A J A Z H E 0 N S H 0 I N A S V 0 I S 0 O 0 L Y M 0 I M L A D 0 E 0 N C A M 0 I
anonymous-20110502-wqi/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
anonymous-20110502-zxm/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
anonymous-20110502-zxm/wav/ru_0064,он сел к столу начал лупить варёную картошку разломил окунул в соль на завтра приготовь чистое две смены рубашки подштаники подвёртки,O 0 N 0 S 0 E 0 L K S T A L U 0 N A 0 C H I L U P 0 I 0 T 0 V A R 0 O 0 N U J U K A R T O 0 S H K U R A Z L A M 0 I 0 L A K U N U 0 L F S O 0 L 0 N A Z A 0 F T R A P R 0 I G A T O 0 F 0 C H I 0 S T A J I D V 0 E 0 S M 0 E 0 N Y R U B A 0 S H K 0 I P A T S H T A 0 N 0 I K 0 I P A D V 0 O 0 R T K 0 I
anonymous-20110502-zxm/wav/ru_0065,шли с набережной бежали из переулков бубнили сбивались в кучки лежали на чахлой траве поглядывали на низкое солнце пустившее сквозь облака широкие лучи,S H L 0 I 0 S N A 0 B 0 I R 0 I Z H N A J B 0 I Z H A 0 L 0 I S P 0 I R 0 I U 0 L K A V B U B N 0 I 0 L 0 I Z B 0 I V A 0 L 0 I S 0 F K U 0 C H K 0 I L 0 I Z H A 0 L 0 I N A C H A 0 H L A J T R A V 0 E 0 P A G L 0 A 0 D Y V A L 0 I N A N 0 I 0 S K A J I S O 0 N C Y P U S 0 T 0 I 0 F S H Y J I S K V O 0 S 0 A B L A K A 0 S H Y R O 0 K 0 I J I L U C H I 0
